sura,ayat,dominant_topic,confidence
5,21,13,0.25
5,22,9,0.33064517
5,23,9,0.3109756
5,24,13,0.43292683
5,25,13,0.33064517
5,26,3,0.49305555
5,27,4,0.29310346
5,28,4,0.41129032
5,29,9,0.3690476
5,30,4,0.32978722
5,31,3,0.3976378
5,32,12,0.28531075
5,33,4,0.21794872
5,34,5,0.7261905
5,35,13,0.32978722
5,36,4,0.23563218
5,37,12,0.43617022
5,38,5,0.2771739
5,39,5,0.5298508
5,40,5,0.49456525
5,41,4,0.25992063
5,42,13,0.3317757
5,43,13,0.35964912
5,44,6,0.26811594
5,45,3,0.38257578
5,46,6,0.37295085
5,47,3,0.33064517
5,48,6,0.23922414
5,49,12,0.29562044
5,50,13,0.4189189
5,51,13,0.33196723
5,52,4,0.2009804
5,53,4,0.4919355
5,54,4,0.22611465
5,55,11,0.39423078
5,56,13,0.48809525
5,57,13,0.26288658
5,58,3,0.22340426
5,59,6,0.33064517
5,60,12,0.2990196
5,61,13,0.38059703
5,62,6,0.38059703
5,63,6,0.38059703
5,64,4,0.25
5,65,9,0.35416666
5,66,6,0.2228261
5,67,10,0.3505747
5,68,6,0.25
5,69,4,0.3505747
5,70,1,0.27232143
5,71,0,0.30597016
5,72,6,0.25
5,73,4,0.26623377
5,74,5,0.49038464
5,75,13,0.25
5,76,12,0.33064517
5,77,12,0.3169643
5,78,6,0.2847222
5,79,11,0.29807693
5,80,4,0.25
5,81,6,0.27192983
5,82,6,0.26288658
5,83,9,0.23563218
5,84,4,0.22340426
5,85,9,0.43292683
5,86,0,0.48809525
5,87,10,0.30597016
5,88,13,0.49038464
5,89,13,0.31057268
5,90,11,0.2228261
5,91,4,0.3961039
5,92,2,0.38059703
5,93,4,0.42045456
5,94,12,0.26288658
5,95,4,0.2327189
5,96,13,0.3317757
5,97,5,0.52061856
5,98,5,0.60714287
5,99,5,0.22340426
5,100,13,0.26623377
5,101,5,0.23831776
5,102,13,0.25
5,103,0,0.38586956
5,104,12,0.29310346
5,105,13,0.3961039
5,106,11,0.35174417
5,107,11,0.2852113
5,108,4,0.29310346
5,109,2,0.38059703
5,110,3,0.1672794
5,111,2,0.25
5,112,6,0.49456525
5,113,13,0.35964912
5,114,13,0.33196723
5,115,7,0.38059703
5,116,5,0.3321168
5,117,2,0.2771739
5,118,5,0.49038464
5,119,9,0.62371135
5,120,5,0.68269235
7,2,0,0.25
7,3,13,0.41129032
7,4,8,0.4473684
7,5,7,0.48809525
7,6,2,0.8243243
7,7,10,0.28378376
7,8,3,0.25
7,9,0,0.27192983
7,10,13,0.23134328
7,11,9,0.33116883
7,12,9,0.29807693
7,13,3,0.18421052
7,14,3,0.28378376
7,15,3,0.38888887
7,16,8,0.4189189
7,17,12,0.32978722
7,18,13,0.29807693
7,19,9,0.33152175
7,20,9,0.47196263
7,21,9,0.29807693
7,22,9,0.45833334
7,23,12,0.39423078
7,24,3,0.39423078
7,25,9,0.4189189
7,26,9,0.25
7,27,13,0.3535032
7,28,12,0.43292683
7,29,12,0.33116883
7,30,13,0.30597016
7,31,9,0.26623377
7,32,12,0.24015749
7,33,12,0.22767857
7,34,12,0.35964912
7,35,13,0.16803278
7,36,9,0.35964912
7,37,2,0.37755105
7,38,12,0.2645349
7,39,13,0.49038464
7,40,0,0.18303572
7,41,10,0.27192983
7,42,9,0.33064517
7,43,4,0.18613139
7,44,1,0.31443298
7,45,8,0.5425532
7,46,6,0.39705884
7,47,3,0.16935484
7,48,13,0.35416666
7,49,4,0.41129032
7,50,9,0.3961039
7,51,8,0.16847827
7,52,12,0.27192983
7,53,2,0.20065789
7,54,5,0.25
7,55,4,0.29807693
7,56,13,0.3109756
7,57,3,0.23355263
7,58,9,0.33196723
7,59,3,0.23134328
7,60,1,0.32978722
7,61,7,0.27192983
7,62,10,0.5865385
7,63,12,0.26623377
7,64,0,0.4473684
7,65,13,0.39423078
7,66,3,0.30597016
7,67,3,0.27192983
7,68,10,0.7261905
7,69,13,0.2579618
7,70,2,0.30597016
7,71,13,0.26068377
7,72,3,0.30597016
7,73,2,0.16141732
7,74,9,0.25
7,75,13,0.37195122
7,76,8,0.57407403
7,77,9,0.23134328
7,78,3,0.554054
7,79,10,0.38059703
7,80,3,0.20192307
7,81,11,0.30597016
7,82,13,0.43617022
7,83,3,0.32812497
7,84,8,0.32812497
7,85,13,0.34353742
7,86,8,0.23831776
7,87,13,0.52597404
7,88,3,0.36597937
7,89,13,0.344697
7,90,3,0.35964912
7,91,3,0.554054
7,92,3,0.5350877
7,93,1,0.2012987
7,94,7,0.35964912
7,95,2,0.25
7,96,7,0.2771739
7,97,7,0.41129032
7,98,4,0.23134328
7,99,4,0.4473684
7,100,0,0.23563218
7,101,2,0.27232143
7,102,1,0.3690476
7,103,3,0.35416666
7,104,7,0.6489362
7,105,13,0.35416666
7,106,1,0.25
7,107,2,0.7261905
7,108,2,0.28378376
7,109,1,0.43617022
7,110,7,0.57407403
7,111,7,0.22340426
7,112,1,0.38888887
7,113,7,0.49038464
7,114,13,0.38888887
7,115,2,0.48437497
7,116,1,0.27192983
7,117,2,0.39423078
7,118,4,0.4189189
7,119,13,0.38888887
7,120,9,0.38888887
7,121,7,0.4772727
7,122,13,0.4772727
7,123,7,0.2771739
7,124,4,0.32812497
7,125,2,0.32352942
7,126,0,0.2847222
7,127,11,0.344697
7,128,12,0.43292683
7,129,2,0.13636364
7,130,3,0.33064517
7,131,12,0.2771739
7,132,7,0.28378376
7,133,2,0.23563218
7,134,7,0.28504673
7,135,1,0.22340426
7,136,0,0.32978722
7,137,13,0.2007874
7,138,3,0.2771739
7,139,4,0.48437497
7,140,13,0.32978722
7,141,11,0.30341882
7,142,3,0.25
7,143,13,0.2645349
7,144,4,0.2012987
7,145,13,0.27232143
7,146,13,0.2808642
7,147,4,0.38059703
7,148,13,0.22767857
7,149,12,0.33064517
7,150,13,0.23820755
7,151,5,0.35964912
7,152,4,0.2847222
7,153,5,0.5865385
7,154,4,0.23134328
7,155,12,0.3490099
7,156,13,0.3317757
7,157,13,0.2433155
7,158,2,0.19158879
7,159,12,0.29807693
7,160,9,0.20495495
7,161,9,0.23831776
7,162,12,0.35964912
7,163,4,0.25
7,164,13,0.35416666
7,165,11,0.23134328
7,166,12,0.3690476
7,167,5,0.23563218
7,168,13,0.35964912
7,169,1,0.20639534
7,170,4,0.622807
7,171,13,0.2771739
7,172,8,0.22767857
7,173,2,0.29807693
7,174,0,0.640625
7,175,0,0.23134328
7,176,0,0.2689394
7,177,0,0.29807693
7,178,12,0.4473684
7,179,0,0.21794872
7,180,4,0.23134328
7,181,12,0.3690476
7,182,0,0.32978722
7,183,3,0.32812497
7,184,13,0.39423078
7,185,5,0.35416666
7,186,12,0.5350877
7,187,2,0.20639534
7,188,13,0.25
7,189,11,0.19318181
7,190,4,0.23134328
7,191,5,0.28378376
7,192,8,0.25
7,193,13,0.41129032
7,194,13,0.29807693
7,195,4,0.26288658
7,196,6,0.4189189
7,197,13,0.33064517
7,198,13,0.32978722
7,199,11,0.4189189
7,200,1,0.35964912
