sura,ayat,0,1,2,3,4,5,6,7,8,9,10,11,12,13
2,89,0.005747127,0.06321839,0.005747127,0.005747127,0.005747127,0.23563218,0.12068965,0.12068965,0.06321839,0.005747127,0.17816092,0.005747127,0.12068965,0.06321839
2,90,0.004901961,0.004901961,0.004901961,0.004901961,0.25,0.004901961,0.2009804,0.05392157,0.004901961,0.004901961,0.10294117,0.004901961,0.25,0.10294117
2,91,0.0051546395,0.10824742,0.2113402,0.0051546395,0.10824742,0.0051546395,0.15979381,0.0051546395,0.0051546395,0.0051546395,0.0051546395,0.0051546395,0.10824742,0.26288658
2,92,0.007462687,0.30597016,0.23134328,0.08208956,0.007462687,0.007462687,0.007462687,0.007462687,0.007462687,0.007462687,0.08208956,0.08208956,0.08208956,0.08208956
2,93,0.003937008,0.08267716,0.04330709,0.04330709,0.24015749,0.003937008,0.04330709,0.003937008,0.003937008,0.04330709,0.122047246,0.04330709,0.04330709,0.27952754
2,94,0.009615385,0.10576924,0.009615385,0.20192307,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.10576924,0.20192307,0.29807693,0.009615385
2,95,0.00877193,0.00877193,0.00877193,0.09649123,0.18421052,0.09649123,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.35964912,0.18421052
2,96,0.0042735045,0.0042735045,0.047008548,0.34615386,0.0042735045,0.047008548,0.047008548,0.047008548,0.047008548,0.0042735045,0.047008548,0.0042735045,0.26068377,0.089743584
2,97,0.006097561,0.067073174,0.067073174,0.006097561,0.12804878,0.12804878,0.006097561,0.12804878,0.006097561,0.006097561,0.067073174,0.067073174,0.18902439,0.12804878
2,98,0.00877193,0.00877193,0.18421052,0.00877193,0.27192983,0.00877193,0.27192983,0.00877193,0.00877193,0.00877193,0.00877193,0.09649123,0.09649123,0.00877193
2,99,0.27192983,0.18421052,0.00877193,0.18421052,0.00877193,0.00877193,0.09649123,0.00877193,0.00877193,0.00877193,0.09649123,0.00877193,0.09649123,0.00877193
2,100,0.10576924,0.20192307,0.10576924,0.009615385,0.10576924,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.39423078
2,101,0.006944445,0.076388896,0.14583333,0.076388896,0.006944445,0.006944445,0.14583333,0.006944445,0.006944445,0.076388896,0.076388896,0.006944445,0.14583333,0.21527778
2,102,0.034201954,0.19706841,0.0016286644,0.0016286644,0.09934853,0.050488595,0.09934853,0.0016286644,0.0016286644,0.050488595,0.050488595,0.09934853,0.13192183,0.18078177
2,103,0.009615385,0.20192307,0.009615385,0.009615385,0.10576924,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.10576924,0.49038464
2,104,0.006944445,0.006944445,0.006944445,0.006944445,0.21527778,0.006944445,0.006944445,0.2847222,0.006944445,0.006944445,0.006944445,0.076388896,0.21527778,0.14583333
