sura,ayat,0,1,2,3,4,5,6,7,8,9
2,138,0.18333334,0.016666668,0.016666668,0.016666668,0.016666668,0.016666668,0.016666668,0.35,0.016666668,0.35
2,139,0.1,0.28181818,0.009090909,0.009090909,0.1,0.009090909,0.009090909,0.009090909,0.19090909,0.28181818
2,140,0.14090909,0.32272726,0.0045454544,0.0045454544,0.18636364,0.0045454544,0.0045454544,0.05,0.0045454544,0.27727273
2,141,0.011111111,0.011111111,0.011111111,0.011111111,0.12222222,0.011111111,0.011111111,0.12222222,0.23333332,0.45555556
2,142,0.22777778,0.0055555557,0.22777778,0.0055555557,0.06111111,0.11666666,0.0055555557,0.0055555557,0.11666666,0.22777778
2,143,0.11388889,0.11388889,0.0027777778,0.0027777778,0.11388889,0.11388889,0.16944444,0.030555556,0.11388889,0.22500001
2,144,0.11071428,0.0035714286,0.039285716,0.0035714286,0.039285716,0.39642859,0.11071428,0.074999996,0.0035714286,0.21785714
2,145,0.0045454544,0.0045454544,0.0045454544,0.0045454544,0.23181818,0.23181818,0.0045454544,0.0045454544,0.32272726,0.18636364
2,146,0.008333334,0.008333334,0.008333334,0.008333334,0.42499998,0.008333334,0.34166667,0.175,0.008333334,0.008333334
2,147,0.0125,0.0125,0.0125,0.0125,0.0125,0.2625,0.1375,0.1375,0.2625,0.1375
2,148,0.005882353,0.005882353,0.24117647,0.005882353,0.064705886,0.18235293,0.064705886,0.064705886,0.18235293,0.18235293
2,149,0.0076923077,0.0076923077,0.0076923077,0.0076923077,0.0076923077,0.3153846,0.16153845,0.16153845,0.0076923077,0.3153846
2,150,0.09130435,0.0043478264,0.0043478264,0.0043478264,0.09130435,0.30869564,0.0043478264,0.04782609,0.04782609,0.3956522
2,151,0.06111111,0.0055555557,0.0055555557,0.0055555557,0.45000002,0.11666666,0.06111111,0.0055555557,0.22777778,0.06111111
2,152,0.014285714,0.014285714,0.014285714,0.014285714,0.29999998,0.014285714,0.014285714,0.15714286,0.44285712,0.014285714
2,153,0.12222222,0.12222222,0.011111111,0.011111111,0.011111111,0.011111111,0.011111111,0.34444442,0.011111111,0.34444442
2,154,0.15714286,0.014285714,0.29999998,0.014285714,0.014285714,0.014285714,0.014285714,0.29999998,0.014285714,0.15714286
2,155,0.006666667,0.07333334,0.006666667,0.006666667,0.20666666,0.006666667,0.006666667,0.20666666,0.27333334,0.20666666
2,156,0.008333334,0.8416667,0.008333334,0.008333334,0.008333334,0.008333334,0.008333334,0.008333334,0.09166667,0.008333334
2,157,0.1375,0.0125,0.0125,0.0125,0.1375,0.0125,0.0125,0.0125,0.1375,0.5125
2,158,0.004,0.284,0.004,0.004,0.004,0.004,0.084,0.204,0.244,0.16399999
2,159,0.07857143,0.007142857,0.007142857,0.29285714,0.57857144,0.007142857,0.007142857,0.007142857,0.007142857,0.007142857
2,160,0.007142857,0.007142857,0.007142857,0.007142857,0.07857143,0.007142857,0.50714284,0.22142856,0.007142857,0.14999999
2,161,0.01,0.01,0.31,0.11,0.01,0.01,0.01,0.01,0.11,0.41
2,162,0.014285714,0.014285714,0.014285714,0.7285714,0.15714286,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714
2,163,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.7625,0.0125,0.0125,0.1375
2,164,0.0029411765,0.0029411765,0.5323529,0.091176465,0.120588236,0.032352943,0.061764702,0.032352943,0.061764702,0.061764702
2,165,0.05,0.0045454544,0.095454544,0.095454544,0.0045454544,0.18636364,0.0045454544,0.18636364,0.0045454544,0.36818182
2,166,0.01,0.01,0.11,0.21,0.01,0.21,0.01,0.11,0.31,0.01
2,167,0.0055555557,0.06111111,0.0055555557,0.06111111,0.11666666,0.28333333,0.0055555557,0.0055555557,0.28333333,0.17222221
2,168,0.06875,0.13125,0.06875,0.00625,0.06875,0.00625,0.00625,0.13125,0.19375,0.31875
2,169,0.016666668,0.18333334,0.016666668,0.016666668,0.016666668,0.016666668,0.016666668,0.18333334,0.016666668,0.51666665
2,170,0.06111111,0.39444444,0.0055555557,0.0055555557,0.06111111,0.0055555557,0.0055555557,0.0055555557,0.17222221,0.28333333
2,171,0.34166667,0.008333334,0.008333334,0.008333334,0.008333334,0.34166667,0.008333334,0.008333334,0.175,0.09166667
2,172,0.009090909,0.009090909,0.009090909,0.009090909,0.19090909,0.009090909,0.19090909,0.1,0.19090909,0.28181818
2,173,0.0045454544,0.0045454544,0.0045454544,0.0045454544,0.05,0.0045454544,0.23181818,0.05,0.55,0.095454544
2,174,0.005263158,0.005263158,0.005263158,0.3736842,0.26842105,0.1631579,0.005263158,0.005263158,0.005263158,0.1631579
2,175,0.25833333,0.008333334,0.008333334,0.5083333,0.008333334,0.008333334,0.008333334,0.008333334,0.008333334,0.175
2,176,0.14999999,0.007142857,0.07857143,0.007142857,0.22142856,0.07857143,0.22142856,0.007142857,0.007142857,0.22142856
2,177,0.0021739132,0.0021739132,0.08913043,0.08913043,0.0673913,0.023913044,0.08913043,0.30652174,0.24130435,0.08913043
2,178,0.028947368,0.002631579,0.08157895,0.08157895,0.08157895,0.002631579,0.002631579,0.1868421,0.39736843,0.13421053
2,179,0.0125,0.0125,0.3875,0.0125,0.0125,0.0125,0.0125,0.0125,0.1375,0.3875
2,180,0.005263158,0.005263158,0.005263158,0.005263158,0.1631579,0.005263158,0.005263158,0.4263158,0.3736842,0.005263158
2,181,0.009090909,0.1,0.009090909,0.009090909,0.009090909,0.009090909,0.46363637,0.009090909,0.28181818,0.1
2,182,0.0076923077,0.0076923077,0.0076923077,0.0076923077,0.0076923077,0.0076923077,0.3153846,0.46923077,0.08461539,0.08461539
2,183,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.61,0.31
2,184,0.099999994,0.03548387,0.0032258064,0.13225806,0.06774193,0.0032258064,0.0032258064,0.19677418,0.2935484,0.16451612
2,185,0.15641025,0.0025641026,0.079487175,0.13076922,0.13076922,0.0025641026,0.0025641026,0.0025641026,0.2846154,0.20769231
2,186,0.0055555557,0.11666666,0.11666666,0.0055555557,0.17222221,0.0055555557,0.11666666,0.06111111,0.11666666,0.28333333
2,187,0.0020408165,0.08367347,0.0020408165,0.0632653,0.0632653,0.12448979,0.04285714,0.10408163,0.3489796,0.16530614
2,188,0.18235293,0.064705886,0.005882353,0.005882353,0.064705886,0.005882353,0.123529404,0.29999998,0.123529404,0.123529404
